Experiment Name,Well Name,Total Nuclei,Cluster Positive Nuclei,Percent Nuclei Cluster Positive,Number of Clusters,Mean Nuclei Per Cluster,Mean Cluster Size (um^2),Mean Cluster Intensity,Mean Cluster Perimeter (um^2),Mean Clusetr Convex Hull (um^2),Mean Cluster Perimeter to Convex Hull Ratio
110520_proxOrg_FFU,D08,21433,73,0.3418,26,2.8077,2087.8988,727.6688,207.3141,184.4611,0.8898
,,,,,,,,,,,
110520_proxOrg_FFU,D09,23396,110,0.4724,33,3.3333,2234.2434,680.2061,193.4968,177.4541,0.9171
,,,,,,,,,,,
110520_proxOrg_FFU,D10,23357,54,0.2317,27,2,1797.353,732.3536,181.3903,164.9123,0.9092
,,,,,,,,,,,
110520_proxOrg_FFU,D11,23680,46,0.1946,14,3.2857,3339.0045,680.7458,259.9583,234.9947,0.904
,,,,,,,,,,,
110520_proxOrg_FFU,D12,26121,152,0.5853,25,6.08,3483.9738,728.9722,283.9177,242.5933,0.8544
,,,,,,,,,,,
110520_proxOrg_FFU,E01,16532,104,0.6331,15,6.9333,4394.5657,629.073,279.0399,229.0352,0.8208
,,,,,,,,,,,
110520_proxOrg_FFU,E02,17166,72,0.4212,17,4.2353,3788.3729,655.1082,256.2319,213.7133,0.8341
,,,,,,,,,,,
110520_proxOrg_FFU,E03,18297,65,0.3565,26,2.5,3519.2242,671.7062,285.8661,247.2072,0.8648
,,,,,,,,,,,
110520_proxOrg_FFU,E04,20183,86,0.4279,20,4.3,3354.5149,672.4587,306.4968,255.3549,0.8331
,,,,,,,,,,,
110520_proxOrg_FFU,E05,21986,117,0.535,23,5.087,3752.7988,726.6651,281.8451,235.1142,0.8342
,,,,,,,,,,,
110520_proxOrg_FFU,E06,22528,212,0.95,48,4.4167,4018.5218,650.6396,280.0741,238.7727,0.8525
,,,,,,,,,,,
110520_proxOrg_FFU,E07,22672,345,1.5452,51,6.7647,7178.8836,626.5872,408.9523,332.5709,0.8132
,,,,,,,,,,,
110520_proxOrg_FFU,E08,23584,194,0.8294,32,6.0625,6949.6334,651.7015,424.8103,327.6002,0.7712
,,,,,,,,,,,
110520_proxOrg_FFU,E09,22252,83,0.3744,23,3.6087,3625.3811,662.9764,261.7604,216.7917,0.8282
,,,,,,,,,,,
110520_proxOrg_FFU,E10,21586,185,0.8644,23,8.0435,9069.9089,651.8415,452.0865,348.5095,0.7709
,,,,,,,,,,,
110520_proxOrg_FFU,E11,23263,206,0.8934,41,5.0244,5156.9695,650.8618,326.4312,276.8306,0.8481
,,,,,,,,,,,
110520_proxOrg_FFU,E12,23904,213,0.8991,19,11.2105,9007.5685,661.9421,467.4734,331.4727,0.7091
,,,,,,,,,,,
