Experiment Name,Well Name,Cluster ID,Cluster Area (um^2),Number of Nuclei,Cluster Mean Intenisty,Cluster Perimeter (um),Cluster Convex Hull (um),Cluster Convex Hull to Perimeter Ratio,Cluster Distance from Well Edge (um)
110520_proxOrg_FFU,A02,23,1086.8049,0,525.8693,123.6018,120.1746,0.9723,176.7073
,,,,,,,,,
110520_proxOrg_FFU,A02,24,690.2825,1,524.0748,97.5213,95.8286,0.9826,87.8743
,,,,,,,,,
110520_proxOrg_FFU,A02,25,658.5392,1,531.2639,94.839,93.2389,0.9831,291.8632
,,,,,,,,,
110520_proxOrg_FFU,A02,26,1702.3024,0,542.8613,152.9724,148.7388,0.9723,43.7923
,,,,,,,,,
110520_proxOrg_FFU,A02,27,5536.787,6,666.6096,400.8701,325.2675,0.8114,33.4787
,,,,,,,,,
110520_proxOrg_FFU,A02,28,2434.0127,5,991.1454,193.3544,186.3682,0.9639,34.2723
,,,,,,,,,
110520_proxOrg_FFU,A02,29,2874.1149,0,539.8338,201.0885,193.8836,0.9642,87.8872
,,,,,,,,,
110520_proxOrg_FFU,A03,1,14573.4087,26,645.6671,804.651,718.1926,0.8926,23.5248
,,,,,,,,,
110520_proxOrg_FFU,A03,2,1879.8497,1,676.5212,173.007,167.1134,0.9659,210.3659
,,,,,,,,,
110520_proxOrg_FFU,A03,3,2063.3153,7,517.3768,172.2214,166.2507,0.9653,160.5251
,,,,,,,,,
110520_proxOrg_FFU,A03,4,1085.7289,3,668.4098,193.4407,180.3176,0.9322,7.3822
,,,,,,,,,
110520_proxOrg_FFU,A03,5,3012.3866,4,869.8316,299.347,278.9686,0.9319,15.5047
,,,,,,,,,
110520_proxOrg_FFU,A03,6,1691.0039,6,512.6895,156.5877,150.9896,0.9642,238.7056
,,,,,,,,,
110520_proxOrg_FFU,A03,7,17025.7141,37,777.4277,858.2234,618.4399,0.7206,64.6241
,,,,,,,,,
110520_proxOrg_FFU,A03,8,628.41,2,1437.7654,94.5873,92.5112,0.9781,97.3088
,,,,,,,,,
110520_proxOrg_FFU,A03,9,3012.9246,1,643.8166,223.1799,218.1493,0.9775,16.6698
,,,,,,,,,
110520_proxOrg_FFU,A03,10,30713.5382,36,798.3379,1110.5273,774.7598,0.6977,217.7172
,,,,,,,,,
110520_proxOrg_FFU,A03,11,5471.6863,13,967.053,433.2483,342.6374,0.7909,53.9607
,,,,,,,,,
110520_proxOrg_FFU,A03,12,613.8834,4,521.6337,152.2299,130.3447,0.8562,251.1572
,,,,,,,,,
110520_proxOrg_FFU,A03,13,1970.7755,0,532.0912,168.0721,162.2404,0.9653,523.1485
,,,,,,,,,
110520_proxOrg_FFU,A03,14,1390.7875,2,649.1872,159.0615,152.9027,0.9613,353.205
,,,,,,,,,
110520_proxOrg_FFU,A03,15,520.8055,1,531.9576,84.8217,83.8587,0.9886,511.5561
,,,,,,,,,
110520_proxOrg_FFU,A03,16,1267.0424,1,584.2573,144.0356,140.219,0.9735,274.1772
,,,,,,,,,
110520_proxOrg_FFU,A03,17,565.4614,1,562.1256,87.504,86.2723,0.9859,456.9954
,,,,,,,,,
110520_proxOrg_FFU,A03,18,1933.652,0,543.2627,174.6951,164.1794,0.9398,32.4102
,,,,,,,,,
110520_proxOrg_FFU,A03,19,1527.4452,4,528.9151,146.7484,142.0301,0.9678,38.8391
,,,,,,,,,
110520_proxOrg_FFU,A03,20,743.5467,0,522.7004,104.8563,101.8942,0.9718,251.7564
,,,,,,,,,
110520_proxOrg_FFU,A03,21,793.0448,0,511.7564,118.311,112.3047,0.9492,102.5939
,,,,,,,,,
110520_proxOrg_FFU,A03,22,653.159,0,504.9003,133.4412,117.3559,0.8795,58.5951
,,,,,,,,,
110520_proxOrg_FFU,A03,23,136.6577,1,530.1102,54.0578,54.6183,1.0104,3.7426
,,,,,,,,,
110520_proxOrg_FFU,A04,1,6967.9262,15,879.255,608.1468,522.9622,0.8599,18.7167
,,,,,,,,,
110520_proxOrg_FFU,A04,2,576.2218,2,533.9897,88.3633,87.3983,0.9891,153.3768
,,,,,,,,,
110520_proxOrg_FFU,A04,3,34495.2966,63,701.3669,1689.3698,1110.6213,0.6574,88.6378
,,,,,,,,,
110520_proxOrg_FFU,A04,4,1041.6111,1,520.2707,122.9942,119.7031,0.9732,243.2237
,,,,,,,,,
110520_proxOrg_FFU,A04,5,14093.4928,23,730.2844,694.6797,574.193,0.8266,232.3288
,,,,,,,,,
110520_proxOrg_FFU,A04,6,508.431,0,661.3778,125.646,119.1281,0.9481,154.5768
,,,,,,,,,
110520_proxOrg_FFU,A04,7,1191.7193,2,674.8497,131.7962,128.0431,0.9715,130.7412
,,,,,,,,,
110520_proxOrg_FFU,A04,8,1135.2269,0,560.8318,134.7734,133.0624,0.9873,12.6137
,,,,,,,,,
110520_proxOrg_FFU,A04,9,3096.318,6,551.1253,212.9719,204.8477,0.9619,238.7631
,,,,,,,,,
110520_proxOrg_FFU,A04,10,2809.0142,0,537.9171,200.7325,193.8565,0.9657,68.0648
,,,,,,,,,
110520_proxOrg_FFU,A04,11,5280.6884,6,937.4061,308.4185,282.994,0.9176,167.3614
,,,,,,,,,
110520_proxOrg_FFU,A04,12,964.6739,2,1292.1316,115.7329,112.7294,0.974,20.9183
,,,,,,,,,
110520_proxOrg_FFU,A04,13,540.7124,0,543.7532,85.859,84.7696,0.9873,448.491
,,,,,,,,,
110520_proxOrg_FFU,A04,14,13271.3948,29,884.1319,734.8353,549.5214,0.7478,287.8426
,,,,,,,,,
110520_proxOrg_FFU,A04,15,1368.7286,0,524.7512,137.4125,133.6392,0.9725,339.3427
,,,,,,,,,
110520_proxOrg_FFU,A04,16,1763.0989,4,1488.4162,160.5591,155.2335,0.9668,31.5932
,,,,,,,,,
110520_proxOrg_FFU,A04,17,2291.9748,2,1141.4305,194.3306,183.3687,0.9436,22.6514
,,,,,,,,,
110520_proxOrg_FFU,A04,18,526.7238,2,575.9877,96.2017,94.7336,0.9847,10.9867
,,,,,,,,,
110520_proxOrg_FFU,A04,19,744.0848,1,607.4584,103.4935,100.9969,0.9759,67.1173
,,,,,,,,,
110520_proxOrg_FFU,A04,20,1755.5666,0,545.2081,155.9064,151.2706,0.9703,107.44
,,,,,,,,,
110520_proxOrg_FFU,A05,1,1705.5305,0,509.1596,153.4021,148.8201,0.9701,88.5987
,,,,,,,,,
110520_proxOrg_FFU,A05,2,1374.6468,0,518.1284,141.8135,136.3711,0.9616,193.7013
,,,,,,,,,
110520_proxOrg_FFU,A05,3,2703.0238,0,524.9391,200.8494,194.3836,0.9678,375.1231
,,,,,,,,,
110520_proxOrg_FFU,A05,4,82910.8428,88,718.8982,2386.7161,1415.0205,0.5929,146.1451
,,,,,,,,,
110520_proxOrg_FFU,A05,5,14271.5782,11,713.7847,605.9299,506.8356,0.8365,363.9522
,,,,,,,,,
